,playerId,marketValue_final,2021-05-30 00:00:00,2021-06-06 00:00:00,2021-06-13 00:00:00,2021-06-20 00:00:00,2021-06-27 00:00:00,2021-07-04 00:00:00,2021-07-11 00:00:00,2021-07-18 00:00:00,2021-07-25 00:00:00,2021-08-01 00:00:00,2021-08-08 00:00:00,2021-08-15 00:00:00,2021-08-22 00:00:00,2021-08-29 00:00:00,2021-09-05 00:00:00,2021-09-12 00:00:00,2021-09-19 00:00:00,2021-09-26 00:00:00,2021-10-03 00:00:00,2021-10-10 00:00:00,2021-10-17 00:00:00,2021-10-24 00:00:00,2021-10-31 00:00:00,2021-11-07 00:00:00,2021-11-14 00:00:00,2021-11-21 00:00:00,2021-11-28 00:00:00,2021-12-05 00:00:00,2021-12-12 00:00:00,marketValue_initial,shortName,lastName,Name
0,3431,4661914.351783468,4372530.9,4320060.529200001,4268219.802849601,4268219.802849601,4268219.802849601,4323706.660286645,4323706.660286645,4323706.660286645,4271822.180363205,4305996.757806111,4336138.735110754,4323130.3189054215,4439854.837515868,4417655.5633282885,4417655.5633282885,4386731.9743849905,4386731.9743849905,4518333.93361654,4518333.93361654,4518333.93361654,4495742.263948457,4441793.356781076,4517303.843846354,4440509.678500965,4365021.013966449,4482876.581343543,4626328.631946536,4561560.031099284,4661914.351783468,4286795.0,Miranda,Miranda de Souza Filho,"Miranda, Miranda de Souza Filho"
1,14718,787632.6730882043,799145.0,799145.0,789555.26,778501.48636,792514.51311448,765569.0196685876,767865.7267275933,767865.7267275933,762490.6666405002,762490.6666405002,762490.6666405002,762490.6666405002,794515.2746394012,781008.5149705315,781008.5149705315,794285.6597250305,803817.0876417309,790152.1971518215,784621.1317717587,815221.3559108572,829080.1189613418,829080.1189613418,813327.5967010763,785674.4584132397,780174.737204347,791097.1835252079,773693.0454876533,774466.738533141,787632.6730882043,799145.0,Rafinha,Ferreira de Souza,"Rafinha, Ferreira de Souza"
2,41076,4799045.671323877,4908693.062,4864514.824442,4864514.824442,4752630.983479834,4671836.256760677,4634461.566706592,4745688.64430755,4745688.64430755,4745688.64430755,4816873.973972163,4850592.091789968,4826339.131331018,4826339.131331018,4913213.2356949765,4913213.2356949765,4937779.301873451,4819272.598628488,4857826.779417517,4857826.779417517,4857826.779417517,4707234.149255574,4839036.70543473,4984207.806597772,4939349.936338392,4840562.937611625,4961577.011051916,4906999.663930344,4906999.663930344,4799045.671323877,4938323.0,Reinaldo,da Silva,"Reinaldo, da Silva"
3,117737,1002279.0176870467,927907.0,927907.0,927907.0,927907.0,927907.0,927907.0,959455.838,947942.3679439999,950786.195047832,950786.195047832,950786.195047832,950786.195047832,950786.195047832,950786.195047832,950786.195047832,950786.195047832,943179.9054874494,969588.942841098,964740.9981268925,964740.9981268925,964740.9981268925,969564.703117527,981199.4795549372,964519.0884025033,964519.0884025033,980915.9129053458,1007400.6425537901,995311.8348431446,1002279.0176870467,927907.0,R. Arboleda,Arboleda Escobar,"R. Arboleda, Arboleda Escobar"
4,286344,6242497.96758865,6268877.16,6224995.0198800005,6119170.10454204,6045740.063287536,5985282.662654661,6033164.923955898,6358955.829849516,6250853.580742074,6250853.580742074,6313362.116549495,6325988.840782594,6325988.840782594,6325988.840782594,6294358.896578681,6294358.896578681,6187354.7953368435,6137855.956974149,6199234.51654389,6106245.998795732,6106245.998795732,6167308.458783689,6302989.2448769305,6302989.2448769305,6258868.320162792,6152467.558720024,6287821.845011865,6382139.1726870425,6305553.502614798,6242497.96758865,6145958.0,Léo,Pinheiro da Conceição,"Léo, Pinheiro da Conceição"
5,432817,3443674.8102741814,3603819.45,3549762.1582500003,3507165.012351,3415978.722029874,3415978.722029874,3412562.7433078443,3446688.3707409226,3446688.3707409226,3394988.045179809,3445912.865857506,3435575.127259934,3445881.852641714,3445881.852641714,3445881.852641714,3445881.852641714,3445881.852641714,3470003.0256102057,3470003.0256102057,3470003.0256102057,3470003.0256102057,3470003.0256102057,3393662.959046781,3434386.9145553424,3434386.9145553424,3413780.59306801,3488883.766115506,3488883.766115506,3464461.5797526976,3443674.8102741814,3585890.0,Igor Vinícius,de Souza,"Igor Vinícius, de Souza"
6,527247,3981701.9856656822,3722081.0,3722081.0,3722081.0,3696026.433,3640586.036505,3669710.72479704,3867875.1039360804,3867875.1039360804,3867875.1039360804,3867875.1039360804,3867875.1039360804,3894950.229663633,4000113.8858645507,4000113.8858645507,4000113.8858645507,4000113.8858645507,4000113.8858645507,4000113.8858645507,4000113.8858645507,4000113.8858645507,4000113.8858645507,4108116.9607828935,4108116.9607828935,4108116.9607828935,4058819.5572534986,4058819.5572534986,4058819.5572534986,4058819.5572534986,3981701.9856656822,3722081.0,Diego,Costa Barbosa,"Diego, Costa Barbosa"
7,566728,3822541.870284303,3973487.0,3973487.0,3973487.0,3937725.617,3914099.263298,3914099.263298,3898442.8662448083,3898442.8662448083,3843864.666117381,3843864.666117381,3809269.884122324,3809269.884122324,3809269.884122324,3809269.884122324,3809269.884122324,3809269.884122324,3809269.884122324,3904501.6312253824,3896692.6279629315,3838242.2385434876,3876624.6609289227,3876624.6609289227,3876624.6609289227,3876624.6609289227,3876624.6609289227,3876624.6609289227,3876624.6609289227,3849488.28830242,3822541.870284303,3973487.0,Welington,Damascena Santos,"Welington, Damascena Santos"
8,86220,729352.7222435655,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,791473.0,799387.73,781801.19994,773983.1879406,773983.1879406,794880.7340149962,769444.5505265163,760211.2159201981,741966.1467381134,741966.1467381134,729352.7222435655,791473.0,G. Mercado,Mercado,"G. Mercado, Mercado"
9,86781,5520777.529442611,4931525.465,4897004.786745,5029223.915987114,4994019.348575205,5028977.484015231,4993774.6416271245,5093650.134459667,5205710.43741778,5117213.3599816775,5193971.560381402,5245911.275985217,5492469.105956522,5492469.105956522,5602318.488075652,5602318.488075652,5602318.488075652,5848820.501550981,6123715.065123877,6050230.48434239,6062330.945311074,6001707.635857963,5941690.559499383,5810973.367190396,5967869.648104537,5776897.819365192,5707575.04553281,5610546.269758752,5610546.269758752,5520777.529442611,4956307.0,V. Cuesta,Cuesta,"V. Cuesta, Cuesta"
